Date,6m,9m,1y,2y,3y,4y,5y,6y,7y,8y,9y,10y
200605,4.96782829933444,5.01672502714455,5.02319623418305,4.96665408823516,4.95635753608157,4.95842820237636,4.97092783890039,4.99821663798635,5.03815448601934,5.06846776915353,5.09791813282437,5.16060127671349
200606,5.1307836037087,5.18382537834717,5.18896532653939,5.08571335355803,5.04950535554256,5.02850057157515,5.02303577576165,5.0368596832593,5.05627916530781,5.0751291318609,5.09738910707206,5.14607089598161
200607,5.06690423623358,5.05861406093292,5.03257133242869,4.89537768038428,4.85229321796383,4.83254664865002,4.83430493173671,4.84521840641947,4.87264789819453,4.89975508450719,4.92878502085555,4.97947846456721
200608,5.01465012541037,4.98138977439653,4.92584859670582,4.71004903931762,4.64171543239269,4.62442185406216,4.62841146787929,4.63917258607031,4.66399723722443,4.68235757537625,4.6982133537107,4.74177911575769
200609,4.90539907849329,4.89848117397275,4.84968006321741,4.62482439135054,4.54657181787879,4.52068861919279,4.52479302899354,4.52638730692152,4.55129476813695,4.56965327982129,4.59286413400854,4.63630636971684
200610,4.99205115897995,4.92299944930328,4.84853570418508,4.62160963772909,4.5398165103941,4.50516374335311,4.49726543799721,4.50147313098676,4.52514321775562,4.54155731803293,4.55510165440357,4.59728628762487
200611,4.9505752103511,4.88034958394195,4.79589679802023,4.53500502384675,4.43364702991061,4.38613800526585,4.36970696840555,4.36326423314027,4.38708849922907,4.40438757702068,4.42129615460707,4.46529316952725
200612,4.96718251102924,4.95735769008466,4.9296765846335,4.74057966488518,4.65535972063538,4.62328780014725,4.61836040777913,4.61748720269809,4.64430692208561,4.65695421422743,4.6706720941587,4.71209942939807
200701,5.03117385470412,5.00451336967686,4.97374246944062,4.84721447757788,4.76481043776412,4.7375578118347,4.72860547638636,4.72199743454753,4.74228590121772,4.75455193902891,4.76338644377747,4.80357606861571
200702,4.98802009918203,4.9104561942767,4.82940483508263,4.5884510308944,4.49860087475179,4.46146450203334,4.45963571302581,4.45663737204072,4.49360174977154,4.52262486566412,4.54104754925958,4.58299069904549
200703,4.95243065402057,4.89841580051596,4.82971477396802,4.56055050761589,4.4787355338161,4.47207045916564,4.47514446787565,4.4913562529751,4.54581469419996,4.594735963744,4.62216772126825,4.67953818996098
200704,4.90519995050234,4.89292806481047,4.84226912776899,4.54924990689971,4.45276579372756,4.43979596537494,4.44784373200807,4.4627155084756,4.51572599167547,4.56470352637438,4.5904057906549,4.64624973585776
200705,4.83651855228895,4.92050000598772,4.96027795692927,4.85543457802257,4.79331925759121,4.78576372756281,4.77935348433838,4.77596623345392,4.81560319871561,4.83856891219611,4.85420608835152,4.90383030822994
200706,4.84528353822565,4.90322458234748,4.9130799025712,4.82256876497885,4.81579445404988,4.8417826693941,4.84835131104912,4.85560413896583,4.92071065144162,4.97947278930396,5.00912053208628,5.06236003888406
200707,4.84153365294293,4.78564242237317,4.71130682403491,4.48796671839868,4.44835652985778,4.48479560051691,4.51315981758431,4.56000808092758,4.64492542407455,4.70508503538572,4.74366726199683,4.80119913605255
200708,4.22426234962678,4.30894460798885,4.29788921154834,4.15962255121058,4.13495859055273,4.19318546221504,4.22478818558764,4.27395179513064,4.37681139086891,4.49140597970427,4.55376447875416,4.64014509586293
200709,3.9987769244708,4.04879386222041,4.03028171294122,3.95606013603922,4.00883103767369,4.1161278696118,4.20323120033337,4.27939162335136,4.40388022282108,4.51176326673347,4.59175795868926,4.69210176555107
200710,4.00983523497332,4.03831349710077,4.01883026326467,3.90537074686535,3.92526758158263,4.03707874291215,4.11500072709436,4.18883626228382,4.30400182531374,4.39611738472845,4.4731842142753,4.58138621880197
200711,3.21984513227358,3.22176087723699,3.16024306960433,2.99646309386628,3.03112519178042,3.25328580135201,3.39930299084167,3.53672135881783,3.76123704565298,3.91988505345291,4.01863768702722,4.15211143881201
200712,3.29791744513724,3.29268270842688,3.21200803537311,3.01585997128082,3.0512915362989,3.28837340732941,3.43690236004967,3.58501542219492,3.80172078456393,3.99278401874018,4.10718588332621,4.25318354337724
